ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
AMERICAN SOCIETY OF ADDICTION MEDICINE,CHEVY CHASE,MD,UNITED STATES,1,"$25,000"
AMERICAN SOCIETY OF ANDROLOGY,SCHAUMBURG,IL,UNITED STATES,1,"$20,500"
AMERICAN SOCIETY OF GENE THERAPY,MILWAUKEE,WI,UNITED STATES,1,"$10,000"
AMERICAN SOCIETY OF HEMATOLOGY,WASHINGTON,DC,UNITED STATES,1,"$50,000"
AMERICAN SOCIETY OF TROP MED & HYGIENE,Deerfield,IL,UNITED STATES,1,"$7,500"
AMERICAN SOCIETY/REPRODUCTIVE IMMUNOLOGY,Vernon Hills,IL,UNITED STATES,1,"$6,000"
AMERICAN SOCIOLOGICAL ASSOCIATION,WASHINGTON,DC,UNITED STATES,1,"$448,861"
AMERICAN SPEECH-LANGUAGE-HEARING ASSN,ROCKVILLE,MD,UNITED STATES,1,"$30,000"
AMERICAN STATISTICAL ASSOCIATION,ALEXANDRIA,VA,UNITED STATES,1,"$4,000"
"AMERICAN STEM CELL, INC.",CARLSBAD,CA,UNITED STATES,1,"$193,658"
AMERICAN TYPE CULTURE COLLECTION,MANASSAS,VA,UNITED STATES,2,"$19,954,198"
AMERICAN TYPE CULTURE COLLECTION,MANASSAS,VA,UNITED STATES,1,"$66,729"
AMERICAN UNIVERSITY,WASHINGTON,DC,UNITED STATES,1,"$31,199"
AMERICAN UNIVERSITY OF BEIRUT,BEIRUT,,LEBANON,1,"$119,225"
AMERICAN UROLOGICAL ASSOCIATION,LINTHICUM,MD,UNITED STATES,1,"$10,000"
"AMETHYST RESEARCH, LLC",PHILADELPHIA,PA,UNITED STATES,1,"$200,000"
AMHERST COLLEGE,AMHERST,MA,UNITED STATES,2,"$456,097"
"AMPLIFIED PROTEOMICS, INC.",MOUNTAIN VIEW,CA,UNITED STATES,1,"$194,424"
AMRON CORPORATION,MC LEAN,VA,UNITED STATES,1,"$95,435"
