ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"APPLIKATE TECHNOLOGIES, LLC",WESTON,CT,UNITED STATES,1,"$1,091,279"
"APRICITY THERAPEUTICS, INC.",ATHERTON,CA,UNITED STATES,1,"$225,000"
"APRIHEALTH, INC.",DALLAS,TX,UNITED STATES,1,"$144,450"
"APT THERAPEUTICS, INC.",SAINT LOUIS,MO,UNITED STATES,3,"$2,348,106"
"APTALOGIC, INC",AMES,IA,UNITED STATES,1,"$306,409"
"APTINYX, INC.",EVANSTON,IL,UNITED STATES,1,"$1,090,948"
"APTITUDE MEDICAL SYSTEMS, INC.",SANTA BARBARA,CA,UNITED STATES,5,"$1,769,146"
ARADIGM CORPORATION,HAYWARD,CA,UNITED STATES,1,"$486,599"
ARBOR RESEARCH COLLABORATIVE FOR HEALTH,ANN ARBOR,MI,UNITED STATES,2,"$1,359,294"
"ARBORSENSE, INC.",ANN ARBOR,MI,UNITED STATES,1,"$722,499"
"ARCHIEMD, INC.",BOCA RATON,FL,UNITED STATES,3,"$1,534,960"
"ARETECH, LLC",ASHBURN,VA,UNITED STATES,1,"$224,717"
ARIETIS,Boston,MA,UNITED STATES,2,"$2,251,577"
"ARIMA GENOMICS, INC.",SAN DIEGO,CA,UNITED STATES,1,"$848,530"
"ARIMA GENOMICS, LLC",SAN DIEGO,CA,UNITED STATES,1,"$49,539"
"ARISAN THERAPEUTICS, INC.",SAN DIEGO,CA,UNITED STATES,1,"$1,500,000"
ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,TEMPE,AZ,UNITED STATES,130,"$49,173,540"
ARKANSAS CHILDREN'S HOSPITAL RES INST,LITTLE ROCK,AR,UNITED STATES,9,"$6,436,311"
"ARKLEY BIOTEK, LLC",INDIANAPOLIS,IN,UNITED STATES,1,"$523,888"
ARLENE FINK ASSOCIATES,PACIFIC PALISADES,CA,UNITED STATES,2,"$608,578"
"ARONORA, INC.",PORTLAND,OR,UNITED STATES,3,"$2,356,537"
"ARRHYTHMOTECH, LLC",INDIANAPOLIS,IN,UNITED STATES,1,"$697,076"
"ARSENAL MEDICAL, INC.",WATERTOWN,MA,UNITED STATES,1,"$762,094"
"ARSERVICES, LTD",LORTON,VA,UNITED STATES,1,"$600,000"
"ARTANN LABORATORIES, INC.",TRENTON,NJ,UNITED STATES,1,"$608,038"
"ARTERIOCYTE, INC.",HOPKINTON,MA,UNITED STATES,1,"$302,276"
"ARTICULATE BIOSCIENCES, LLC",BROOKLINE,MA,UNITED STATES,1,"$196,886"
"ARTIFICIAL INTELLIGENCE IN MEDICINE, INC",TORONTO,ON,CANADA,1,"$900,185"
"ARUNA BIOMEDICAL, INC.",ATHENS,GA,UNITED STATES,1,"$499,990"
"ARVINAS, INC.",NEW HAVEN,CT,UNITED STATES,1,"$402,226"
"ASCENT BIO-NANO TECHNOLOGIES, INC.",RESEARCH TRIANGLE PARK,NC,UNITED STATES,2,"$1,494,886"
"ASCLEPIX THERAPEUTICS, LLC",LUTHERVILLE,MD,UNITED STATES,1,"$1,165,695"
"ASDDR, LLC",Amherst,NY,UNITED STATES,1,"$388,482"
ASOCIACION CIVIL IMPACTA SALUD Y EDUCACN,LIMA,,PERU,1,"$1,691,063"
"ASSISTECH SYSTEMS, LLC",EUGENE,OR,UNITED STATES,1,"$603,836"
ASSN/MEDICAL EDUC & RES IN SUBS ABUSE,CRANSTON,RI,UNITED STATES,1,"$50,250"
ASSOCIATION FOR CHEMORECEPTION SCIENCES,MINNEAPOLIS,MN,UNITED STATES,1,"$40,000"
ASSOCIATION FOR RES IN VISION & OPHTHAL,ROCKVILLE,MD,UNITED STATES,1,"$70,000"
"ASTER LABS, INC.",SHOREVIEW,MN,UNITED STATES,1,"$810,828"
"ASTRAEA THERAPEUTICS, LLC",MOUNTAIN VIEW,CA,UNITED STATES,1,"$736,013"
"ASURAGEN, INC.",AUSTIN,TX,UNITED STATES,2,"$984,796"
"ASYSTBIO LABORATORIES, LLC",CHAPEL HILL,NC,UNITED STATES,1,"$220,087"
"ATGC, INC.",YPSILANTI,MI,UNITED STATES,3,"$675,750"
"ATHERSYS, INC.",CLEVELAND,OH,UNITED STATES,1,"$293,537"
"ATLANTA RESEARCH & EDUCATION FDN, INC.",ATLANTA,GA,UNITED STATES,1,"$279,000"
"ATLANTIC HEALTH SYSTEM, INC.",MORRISTOWN,NJ,UNITED STATES,1,"$40,000"
"ATTAGENE, INC.",RESEARCH TRIANGLE PARK,NC,UNITED STATES,1,"$1,016,149"
"ATTORIS, LLC",HOUSTON,TX,UNITED STATES,1,"$149,800"
AUBURN UNIVERSITY AT AUBURN,AUBURN UNIVERSITY,AL,UNITED STATES,13,"$4,789,497"
AUGUSTA UNIVERSITY,AUGUSTA,GA,UNITED STATES,114,"$48,812,986"
"AURITEC PHARMACEUTICALS, INC.",PASADENA,CA,UNITED STATES,2,"$991,145"
"AURORA HEALTH CARE, INC.",MILWAUKEE,WI,UNITED STATES,1,"$885,827"
"AURORA ONCOLOGY, INC.",GOLDEN,CO,UNITED STATES,1,"$299,971"
AUSTRALIAN HEARING SERVICES,MACQUARIE UNIVERSITY,,AUSTRALIA,1,"$292,532"
"AVANTI BIOSCIENCES, INC.",EAST SETAUKET,NY,UNITED STATES,1,"$582,601"
